地区,一本率,重点中学比例,师生比,高等学校入学率,教育经费合计
山东,14.29%,38%,11.72,64.20%,35435325
江苏,30.10%,50%,11.07,65.00%,37666305
广东,13.13%,25%,12.76,57.70%,58957182
河北,18.12%,23%,13.18,53.20%,24136854
福建,22.97%,30%,12.76,59.20%,14643507
湖北,18.90%,24%,13.13,71.90%,21595687
湖南,17.51%,25%,14.24,59.50%,23239832
海南,25.57%,30%,12.76,60.80%,4452258
辽宁,29.18%,38%,11.34,60.20%,11531580
重庆,20.89%,20%,15.12,58.00%,14268965
北京,42.75%,23%,8.08,,14412692
天津,29.91%,27%,11.14,65.00%,5976966
浙江,16.23%,33%,10.97,64.80%,31604868
上海,21.52%,20%,9,,12284171
河南,11.18%,22%,14.46,58.10%,32770897
安徽,20.68%,33%,13.48,50.00%,20853797
江西,12.74%,20%,16.06,52.00%,17882790
山西,13.02%,20%,10.5,58.40%,12823462
陕西,23.77%,20%,11.42,60.00%,14100028
黑龙江,24.04%,20%,13.01,78.40%,9290017
吉林,14.31%,20%,13.1,65.00%,7291754
甘肃,17.43%,17%,10.88,48.30%,9715556
内蒙古,20.54%,20%,10.46,58.40%,10225502
青海,21.27%,20%,12.26,48.80%,3974418
宁夏,26.92%,25%,13.86,58.60%,3446018
新疆,,17%,12.27,56.4,11800252
四川,14.51%,23%,13.48,51.90%,26876692
云南,14.04%,16%,13.54,50.10%,21483109
广西,13.06%,18%,15.82,52.40%,15213160
贵州,12.72%,18%,13.69,45.70%,17342320
西藏,,50%,12.04,56.30%,2886786
