地区,大学(大专及以上),高中（含中专）,初中,小学
北京,41980,17593,23289,10503
天津,26940,17719,32294,16123
河北,12418,13861,39950,24664
山西,17358,16485,38950,19506
内蒙古,18688,14814,33861,23627
辽宁,18216,14670,42799,18888
吉林,16738,17080,38234,22318
黑龙江,14793,15525,42793,21863
上海,33872,19020,28935,11929
江苏,18663,16191,33308,22742
浙江,16990,14555,32706,26384
安徽,13280,13294,33724,26875
福建,14148,14212,32218,28031
江西,11897,15145,35501,27514
山东,14384,14334,35778,23693
河南,11744,15239,37518,24557
湖北,15502,17428,34280,23520
湖南,12239,17776,35636,25214
广东,15699,18224,35484,20676
广西,10806,12962,36388,27855
海南,13919,15561,40174,19701
重庆,15412,15956,30582,29894
四川,13267,13301,31443,31317
贵州,10952,9951,30464,31921
云南,11601,10338,29241,35667
西藏,11019,7051,15757,32108
陕西,18397,15581,33979,21686
甘肃,14506,12937,27423,29808
青海,14880,10568,24344,32725
宁夏,17340,13432,29717,26111
新疆,16536,13208,31559,2840
