地区,合计,女,博士研究生,硕士研究生,本科毕业,专科毕业,高中阶段毕业,高中阶段毕业以下,正高级,副高级,中级,助理级,员级,未定职级
总计,2028341,1146403,2544,248725,1753185,23370,500,17,7589,543817,714834,468573,28450,265078
北京,21798,15767,792,7403,13581,22,0,0,186,8440,6541,4721,71,1839
天津,17123,12391,56,3344,13659,61,3,0,88,6645,6955,2385,140,910
河北,125082,85213,63,13435,110352,1222,10,0,341,24731,45199,24530,3316,26965
山西,65048,42384,166,8600,55507,751,24,0,183,13739,22422,18469,838,9397
内蒙古,39273,25461,15,7106,31728,419,3,2,137,10881,14755,8606,433,4461
辽宁,53745,37652,22,6768,46493,446,15,1,103,24173,18415,5719,208,5127
吉林,34369,23434,47,4458,29708,155,1,0,165,10470,13488,6333,364,3549
黑龙江,44127,29299,10,4585,39043,474,15,0,118,13407,18642,8674,442,2844
上海,19391,13075,260,5804,13326,1,0,0,172,5451,8169,4142,118,1339
江苏,113133,59683,86,23573,89336,132,6,0,612,40302,40461,18755,907,12096
浙江,76319,42124,86,11736,64370,123,4,0,273,25796,25867,16657,363,7363
安徽,86288,37864,13,7691,77685,895,4,0,217,25491,28371,16334,1719,14156
福建,54804,28554,20,5637,48482,660,5,0,193,17130,19509,12557,400,5015
江西,72115,35839,4,7499,61614,2959,39,0,166,20837,20790,13991,1280,15051
山东,155902,88378,47,21806,132510,1508,28,3,567,32843,56544,42668,1563,21717
河南,164350,98346,128,19472,142634,2108,8,0,109,31913,50349,50536,3429,28014
湖北,71973,32213,71,7725,62928,1036,207,6,260,21967,28751,12813,1556,6626
湖南,95092,46550,129,8072,85250,1621,20,0,411,25728,32284,20577,2701,13391
广东,157383,88724,365,25340,130854,818,6,0,596,39624,63019,34710,2026,17408
广西,76598,46908,9,4798,70327,1446,18,0,153,14590,25144,21615,1627,13469
海南,15175,8985,8,1334,13624,209,0,0,57,3829,5388,3645,262,1994
重庆,42322,22071,32,5062,36780,440,8,0,232,11253,15965,11550,206,3116
四川,106673,53411,56,9892,95531,1188,6,0,484,33844,39241,23074,985,9045
贵州,70536,34708,10,4561,64963,990,12,0,358,15794,23553,19317,920,10594
云南,75028,42452,7,4367,69964,669,19,2,386,21301,22225,18212,266,12638
西藏,6288,3436,1,428,5795,64,0,0,19,1022,2225,2274,441,307
陕西,56934,32018,30,8390,47918,586,10,0,234,15308,22709,13400,332,4951
甘肃,47335,20776,2,5283,40613,1419,18,0,503,12761,19441,11513,96,3021
青海,10719,5988,4,804,9720,185,6,0,33,2783,3010,3271,265,1357
宁夏,12079,6883,2,1389,10577,106,3,2,49,3363,4560,2848,267,992
新疆,41339,25816,3,2363,38313,657,2,1,184,8401,10842,14677,909,6326
